Training: 2023-08-17 21:02:38,665-rank_id: 0
Training: 2023-08-17 21:02:52,721-: network                  swin_t
Training: 2023-08-17 21:02:52,721-: resume                   False
Training: 2023-08-17 21:02:52,721-: resume_step              0
Training: 2023-08-17 21:02:52,721-: init                     True
Training: 2023-08-17 21:02:52,721-: init_model               ./
Training: 2023-08-17 21:02:52,721-: save_all_states          True
Training: 2023-08-17 21:02:52,721-: output                   ./results
Training: 2023-08-17 21:02:52,721-: img_size                 112
Training: 2023-08-17 21:02:52,722-: embedding_size           512
Training: 2023-08-17 21:02:52,722-: fp16                     True
Training: 2023-08-17 21:02:52,722-: optimizer                adamw
Training: 2023-08-17 21:02:52,722-: lr                       3.125e-05
Training: 2023-08-17 21:02:52,722-: weight_decay             0.05
Training: 2023-08-17 21:02:52,722-: lr_name                  cosine
Training: 2023-08-17 21:02:52,722-: warmup_lr                3.125e-08
Training: 2023-08-17 21:02:52,722-: min_lr                   3.125e-07
Training: 2023-08-17 21:02:52,722-: decay_epoch              10
Training: 2023-08-17 21:02:52,722-: decay_rate               0.1
Training: 2023-08-17 21:02:52,722-: verbose                  1000
Training: 2023-08-17 21:02:52,722-: save_verbose             6000
Training: 2023-08-17 21:02:52,722-: frequent                 10
Training: 2023-08-17 21:02:52,722-: dali                     False
Training: 2023-08-17 21:02:52,722-: seed                     2048
Training: 2023-08-17 21:02:52,722-: num_workers              0
Training: 2023-08-17 21:02:52,722-: warmup_step              2000
Training: 2023-08-17 21:02:52,722-: total_step               60000
Training: 2023-08-17 21:02:52,722-: expression_train_dataset RAF-DB
Training: 2023-08-17 21:02:52,722-: expression_val_dataset   RAF-DB
Training: 2023-08-17 21:02:52,722-: RAF_data                 dataset/RAF
Training: 2023-08-17 21:02:52,722-: RAF_label                dataset/list_patition_label.txt
Training: 2023-08-17 21:02:52,722-: standard_train_sample_num1000000
Training: 2023-08-17 21:02:52,722-: INTERPOLATION            bicubic
Training: 2023-08-17 21:02:52,722-: RAF_NUM_CLASSES          7
Training: 2023-08-17 21:02:52,722-: RAF_LABEL_SMOOTHING      0.1
Training: 2023-08-17 21:02:52,722-: AUG_COLOR_JITTER         0.4
Training: 2023-08-17 21:02:52,722-: AUG_AUTO_AUGMENT         rand-m9-mstd0.5-inc1
Training: 2023-08-17 21:02:52,723-: AUG_REPROB               0.25
Training: 2023-08-17 21:02:52,723-: AUG_REMODE               pixel
Training: 2023-08-17 21:02:52,723-: AUG_RECOUNT              1
Training: 2023-08-17 21:02:52,723-: AUG_MIXUP                0.0
Training: 2023-08-17 21:02:52,723-: AUG_CUTMIX               0.0
Training: 2023-08-17 21:02:52,723-: AUG_CUTMIX_MINMAX        None
Training: 2023-08-17 21:02:52,723-: AUG_MIXUP_PROB           1.0
Training: 2023-08-17 21:02:52,723-: AUG_MIXUP_SWITCH_PROB    0.5
Training: 2023-08-17 21:02:52,723-: AUG_MIXUP_MODE           batch
Training: 2023-08-17 21:02:52,723-: AUG_SCALE_SET            True
Training: 2023-08-17 21:02:52,723-: AUG_SCALE_SCALE          [1.0, 1.0]
Training: 2023-08-17 21:02:52,723-: AUG_SCALE_RATIO          [1.0, 1.0]
Training: 2023-08-17 21:02:52,723-: batch_size               32
Training: 2023-08-17 21:02:52,723-: train_num_workers        2
Training: 2023-08-17 21:02:52,723-: train_pin_memory         True
Training: 2023-08-17 21:02:52,723-: val_batch_size           64
Training: 2023-08-17 21:02:52,723-: val_num_workers          0
Training: 2023-08-17 21:02:52,723-: val_pin_memory           True
Training: 2023-08-17 21:02:52,723-: total_batch_size         32
Training: 2023-08-17 21:02:52,723-: epoch_step               31250
Training: 2023-08-17 21:02:52,723-: num_epoch                2
Training: 2023-08-17 21:02:59,143-Speed 144.59 samples/sec   Loss 2.1932   LearningRate 0.000000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 5 hours
Training: 2023-08-17 21:03:01,368-Speed 143.88 samples/sec   Loss 2.1810   LearningRate 0.000000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:03,587-Speed 144.18 samples/sec   Loss 2.1624   LearningRate 0.000001   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:05,811-Speed 143.98 samples/sec   Loss 2.1518   LearningRate 0.000001   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:08,030-Speed 144.24 samples/sec   Loss 2.1853   LearningRate 0.000001   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:10,261-Speed 143.45 samples/sec   Loss 2.1369   LearningRate 0.000001   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:12,513-Speed 142.18 samples/sec   Loss 2.0950   LearningRate 0.000001   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:14,753-Speed 142.90 samples/sec   Loss 2.1303   LearningRate 0.000001   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:16,963-Speed 144.81 samples/sec   Loss 2.0898   LearningRate 0.000002   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:19,191-Speed 143.72 samples/sec   Loss 2.0825   LearningRate 0.000002   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:21,441-Speed 142.23 samples/sec   Loss 2.0820   LearningRate 0.000002   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:23,682-Speed 142.81 samples/sec   Loss 2.0606   LearningRate 0.000002   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 4 hours
